modelo,grupo,Estimate,Std. Error,df,t value,Pr(>|t|),Fixed Effect
uf,Total de Diagnósticos,3.66434885485235,0.17507680253463,26.0058975717525,20.9299507519139,8.48223965308507e-18,Intercept
uf,Total de Diagnósticos,-0.0473511452428362,0.00506059112381283,26.0068441142083,-9.35684074929967,8.28618547047509e-10,Ano
uf,M,3.75207411968322,0.181730431390998,26.0037005922962,20.6463721621313,1.18871073494034e-17,Intercept
uf,M,-0.0427896776674616,0.0049840660477261,26.0030090990994,-8.58529506987245,4.58517881753001e-09,Ano
uf,F,3.55732213899711,0.168199399195149,26.0164291579131,21.1494342787148,6.49291769396951e-18,Intercept
uf,F,-0.052854604375506,0.00547399697064717,26.0163436316807,-9.6555779367297,4.34872678363659e-10,Ano
uf,até 14 anos,2.076587482696,0.243906300484754,26.0519910617299,8.51387388750871,5.31105721666444e-09,Intercept
uf,até 14 anos,-0.0492035787359793,0.00662151197758642,25.9746785290006,-7.43086758772492,6.90048522812087e-08,Ano
uf,entre 15 e 59 anos,3.99589624444203,0.180897989805898,26.0058737731057,22.0892241463246,2.2436136934244e-18,Intercept
uf,entre 15 e 59 anos,-0.0570475508686657,0.00489343774941714,26.0058473729643,-11.6579700795133,7.9109376541114e-12,Ano
uf,mais que 60 anos,4.30231769099979,0.161935998338265,26.0189645433175,26.5680128887264,2.21175859323055e-20,Intercept
uf,mais que 60 anos,-0.0446068922056491,0.00505626797644877,26.0177076073815,-8.82209811928885,2.67768562616633e-09,Ano
macro,Total de Diagnósticos,3.6200133286163,0.179086595626847,27.5419703418214,20.2137592483981,4.68929863676068e-18,Intercept
macro,Total de Diagnósticos,-0.0443867380471419,0.00463229100787535,23.5685906457611,-9.58202711610305,1.34146124582686e-09,Ano
macro,M,3.70638266774069,0.185389651944172,27.2509044977574,19.9923923955412,8.15202509198961e-18,Intercept
macro,M,-0.0397800875308288,0.00475701201552596,23.7646276401726,-8.36241056381493,1.54200044256208e-08,Ano
macro,F,3.50650127094959,0.173875164797204,28.0723972825157,20.1667746802099,3.0522663561295e-18,Intercept
macro,F,-0.0504126456735821,0.00475999096817928,23.5501917610871,-10.5909120438658,1.96148514433588e-10,Ano
macro,até 14 anos,2.00062823398655,0.211184952753669,27.182420994393,9.47334650456905,4.18902390521839e-10,Intercept
macro,até 14 anos,-0.0422934868185832,0.00646105588580778,23.9527571248255,-6.5459094559891,9.1319179711191e-07,Ano
macro,entre 15 e 59 anos,3.96952373402294,0.183878865933833,27.357642067841,21.5877105498972,1.02062523598014e-18,Intercept
macro,entre 15 e 59 anos,-0.0549050385232047,0.00443943863519481,23.8857410197932,-12.3675633418898,7.13757611938453e-12,Ano
macro,mais que 60 anos,4.2337043145002,0.170859030262876,27.691828037859,24.7789321289394,1.93412079126509e-20,Intercept
macro,mais que 60 anos,-0.041710320959183,0.00493469483467392,25.1492685531128,-8.45246207852672,8.1000288220141e-09,Ano
